city,district,code,population_district,travel_pattern,total_frequency,total_distance
广州市,南沙区,1,846584,1,31489,303842.674
江门市,开平市,1,748777,2,37805,386392.1
广州市,增城区,1,1466331,3,25096,104882.904
佛山市,三水区,1,803226,1,25381,172022.643
肇庆市,高要区,1,741591,2,26609,545629.52
深圳市,福田区,1,1553225,3,251537,910487.511
广州市,从化区,1,717684,2,29984,340836.221
广州市,花都区,1,1642360,3,93426,312821.139
江门市,开平市,1,748777,1,13870,70025.695
肇庆市,四会市,1,640910,2,74029,1448271.475
深圳市,南山区,1,1795826,3,271728,1084250.705
珠海市,斗门区,1,608899,2,45605,559887.102
惠州市,惠城区,1,2090578,3,66334,584418.178
广州市,从化区,1,717684,1,7597,49243.862
肇庆市,端州区,1,602402,2,219271,4632864.802
广州市,天河区,1,2241826,3,499237,1696086.704
肇庆市,四会市,1,640910,1,8594,53960.389
深圳市,坪山区,1,551333,2,94084,1482850.37
深圳市,龙华区,1,2528872,3,277130,1004079.888
珠海市,斗门区,1,608899,1,13804,96877.715
江门市,鹤山市,1,530684,2,41796,521329.337
广州市,番禺区,1,2658397,3,188645,722079.121
肇庆市,端州区,1,602402,1,31024,226565.842
佛山市,高明区,1,469038,2,86103,1338007.507
佛山市,顺德区,1,3229090,3,49878,161343.265
深圳市,坪山区,1,551333,1,20706,126699.562
珠海市,金湾区,1,446369,2,45197,977887.194
佛山市,南海区,1,3667247,3,207430,878960.541
江门市,鹤山市,1,530684,1,13561,73045.693
江门市,江海区,1,364694,2,14373,103196.656
广州市,白云区,1,3742991,3,467984,1565700.355
佛山市,高明区,1,469038,1,26363,156959.556
深圳市,盐田区,1,214225,2,59957,1166507.678
深圳市,龙岗区,1,4135273,3,203187,783630.043
珠海市,金湾区,1,446369,1,9159,93774.009
肇庆市,鼎湖区,1,209116,2,26135,495624.815
深圳市,宝安区,1,4476554,3,432323,1641817.462
江门市,江海区,1,364694,1,4932,21164.778
深圳市,盐田区,1,214225,1,13208,52632.178
肇庆市,鼎湖区,1,209116,1,3510,53839.363
