,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
30,5.835362839,684483.2725,4.451168258,5.272324108,28259.74626,187207.8724,3
31,5.852528692,712079.8422,4.482798097,5.303966167,30394.71648,201356.7382,3
32,5.869694544,740789.0332,4.514427935,5.335608227,32690.97966,216574.9521,3
33,5.886860397,770655.7034,4.546057774,5.367250287,35160.72116,232943.3339,3
34,5.904026249,801726.5195,4.577687613,5.398892347,37817.04695,250548.8112,3
35,5.921192102,834050.0293,4.609317451,5.430534406,40674.05311,269484.8819,3
36,5.938357954,867676.7382,4.64094729,5.462176466,43746.90067,289852.1098,3
37,5.955523807,902659.1878,4.672577129,5.493818526,47051.89603,311758.6597,3
38,5.97268966,939052.038,4.704206967,5.525460585,50606.57752,335320.8709,3
39,5.989855512,976912.1524,4.735836806,5.557102645,54429.80846,360663.8755,3
40,6.007021365,1016298.687,4.767466645,5.588744705,58541.87724,387922.2632,3
41,6.024187217,1057273.184,4.799096483,5.620386765,62964.60502,417240.7953,3
42,6.04135307,1099899.665,4.830726322,5.652028824,67721.46149,448775.1743,3
43,6.058518922,1144244.734,4.862356161,5.683670884,72837.68945,482692.8703,3
44,6.075684775,1190377.679,4.893985999,5.715312944,78340.43872,519174.0104,3
45,6.092850627,1238370.584,4.925615838,5.746955003,84258.91027,558412.3356,3
46,6.11001648,1288298.437,4.957245677,5.778597063,90624.51111,600616.2294,3
47,6.127182332,1340239.25,4.988875515,5.810239123,97471.02102,646009.8247,3
48,6.144348185,1394274.18,5.020505354,5.841881183,104834.7718,694834.1939,3
49,6.161514038,1450487.657,5.052135193,5.873523242,112754.8399,747348.6294,3
50,6.17867989,1508967.514,5.083765031,5.905165302,121273.2542,803832.0202,3
51,6.195845743,1569805.125,5.11539487,5.936807362,130435.2185,864584.3337,3
52,6.213011595,1633095.549,5.147024709,5.968449422,140289.3518,929928.2079,3
53,6.230177448,1698937.677,5.178654547,6.000091481,150887.9463,1000210.666,3
54,6.2473433,1767434.386,5.210284386,6.031733541,162287.2444,1075804.957,3
55,6.264509153,1838692.704,5.235057368,6.056612375,171813.5327,1139232.523,3
