,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
45,6.092850627,1238370.584,5.457478449,6.605005923,286733.5089,4027225.263,3
46,6.11001648,1288298.437,5.486007428,6.632508886,306201.5807,4290509.681,3
47,6.127182332,1340239.25,5.514536407,6.66001185,326991.4575,4571006.617,3
48,6.144348185,1394274.18,5.543065386,6.687514814,349192.8849,4869841.358,3
49,6.161514038,1450487.657,5.571594365,6.715017777,372901.7013,5188212.759,3
50,6.17867989,1508967.514,5.600123344,6.742520741,398220.2527,5527398.051,3
51,6.195845743,1569805.125,5.628652322,6.770023705,425257.8337,5888757.967,3
52,6.213011595,1633095.549,5.657181301,6.797526669,454131.1595,6273742.197,3
53,6.230177448,1698937.677,5.68571028,6.825029632,484964.87,6683895.208,3
54,6.2473433,1767434.386,5.714239259,6.852532596,517892.0675,7120862.436,3
55,6.264509153,1838692.704,5.742768238,6.88003556,553054.8916,7586396.893,3
56,6.281675005,1912823.97,5.771297217,6.907538523,590605.1324,8082366.193,3
57,6.298840858,1989944.013,5.799826196,6.935041487,630704.8862,8610760.048,3
58,6.31600671,2070173.335,5.828355174,6.962544451,673527.2547,9173698.251,3
59,6.333172563,2153637.293,5.856884153,6.990047415,719257.0927,9773439.177,3
60,6.350338415,2240466.298,5.885413132,7.017550378,768091.806,10412388.85,3
61,6.367504268,2330796.021,5.893171213,7.024330365,781936.0083,10576217.29,3
62,6.384670121,2424767.601,5.900605725,7.030775882,795436.8838,10734353.22,3
63,6.401835973,2522527.869,5.908040237,7.037221399,809170.865,10894853.61,3
64,6.419001826,2624229.575,5.915474749,7.043666916,823141.9765,11057753.8,3
65,6.436167678,2730031.626,5.922909261,7.050112433,837354.3126,11223089.68,3
66,6.453333531,2840099.338,5.930343774,7.056557951,851812.0384,11390897.67,3
67,6.470499383,2954604.692,5.937778286,7.063003468,866519.3907,11561214.73,3
68,6.487665236,3073726.602,5.945212798,7.069448985,881480.6795,11734078.38,3
69,6.504831088,3197651.194,5.95264731,7.075894502,896700.2894,11909526.69,3
70,6.521996941,3326572.1,5.960081822,7.082340019,912182.6804,12087598.31,3
71,6.539162793,3460690.76,5.967516334,7.088785536,927932.3898,12268332.46,3
72,6.556328646,3600216.732,5.974950846,7.095231053,943954.033,12451768.95,3
73,6.573494498,3745368.025,5.982385358,7.101676571,960252.3052,12637948.19,3
74,6.590660351,3896371.437,5.989819871,7.108122088,976831.9828,12826911.19,3
75,6.607826204,4053462.91,5.997254383,7.114567605,993697.9244,13018699.57,3
76,6.624992056,4216887.9,6.004688895,7.121013122,1010855.073,13213355.57,3
77,6.642157909,4386901.756,6.012123407,7.127458639,1028308.456,13410922.08,3
78,6.659323761,4563770.126,6.019557919,7.133904156,1046063.188,13611442.61,3
79,6.676489614,4747769.363,6.026992431,7.140349674,1064124.473,13814961.33,3
80,6.693655466,4939186.968,6.034426943,7.146795191,1082497.603,14021523.06,3
81,6.710821319,5138322.027,6.041861455,7.153240708,1101187.963,14231173.32,3
82,6.727987171,5345485.69,6.049295968,7.159686225,1120201.03,14443958.27,3
83,6.745153024,5561001.649,6.05673048,7.166131742,1139542.376,14659924.79,3
84,6.762318876,5785206.645,6.064164992,7.172577259,1159217.668,14879120.44,3
85,6.779484729,6018450.999,6.071599504,7.179022776,1179232.674,15101593.52,3
86,6.796650581,6261099.153,6.079034016,7.185468294,1199593.258,15327393.02,3
87,6.813816434,6513530.244,6.086468528,7.191913811,1220305.386,15556568.68,3
88,6.830982287,6776138.694,6.09390304,7.198359328,1241375.13,15789170.99,3
89,6.848148139,7049334.828,6.101337552,7.204804845,1262808.663,16025251.17,3
90,6.865313992,7333545.513,6.108772065,7.211250362,1284612.266,16264861.23,3
91,6.882479844,7629214.827,6.116206577,7.217695879,1306792.33,16508053.94,3
92,6.899645697,7936804.753,6.123641089,7.224141397,1329355.353,16754882.89,3
93,6.916811549,8256795.897,6.131075601,7.230586914,1352307.949,17005402.42,3
94,6.933977402,8589688.245,6.138510113,7.237032431,1375656.844,17259667.73,3
95,6.951143254,8936001.938,6.145944625,7.243477948,1399408.879,17517734.83,3
96,6.968309107,9296278.092,6.153379137,7.249923465,1423571.017,17779660.55,3
97,6.985474959,9671079.634,6.160813649,7.256368982,1448150.336,18045502.59,3
98,7.002640812,10060992.19,6.168248162,7.262814499,1473154.042,18315319.52,3
99,7.019806664,10466625,6.175682674,7.269260017,1498589.46,18589170.75,3
0,5.320387263,209116,4.007121193,5.356984151,10165.32325,227501.4407,2
1,5.337553116,217547.0085,4.024356697,5.371378488,10576.85856,235168.1418,2
2,5.354718968,226317.9331,4.0415922,5.385772824,11005.05456,243093.2076,2
3,5.371884821,235442.4784,4.058827703,5.400167161,11450.58575,251285.3446,2
4,5.389050673,244934.9014,4.076063207,5.414561497,11914.15392,259753.5532,2
5,5.406216526,254810.034,4.09329871,5.428955834,12396.4893,268507.1368,2
6,5.423382378,265083.306,4.110534213,5.44335017,12898.35166,277555.7124,2
7,5.440548231,275770.7694,4.127769717,5.457744506,13420.53153,286909.2211,2
8,5.457714083,286889.1233,4.14500522,5.472138843,13963.85145,296577.9391,2
9,5.474879936,298455.7401,4.162240723,5.486533179,14529.16726,306572.4887,2
10,5.492045788,310488.6925,4.179476227,5.500927516,15117.36945,316903.8504,2
11,5.509211641,323006.7819,4.19671173,5.515321852,15729.38455,327583.3745,2
12,5.526377494,336029.5679,4.213947233,5.529716189,16366.17661,338622.794,2
13,5.543543346,349577.3985,4.231182737,5.544110525,17028.74871,350034.2373,2
14,5.560709199,363671.442,4.24841824,5.558504862,17718.14454,361830.2413,2
15,5.577875051,378333.7204,4.265653743,5.572899198,18435.45002,374023.7655,2
16,5.595040904,393587.1434,4.282889247,5.587293535,19181.79507,386628.2064,2
17,5.612206756,409455.5444,4.30012475,5.601687871,19958.35532,399657.4115,2
18,5.629372609,425963.7177,4.317360254,5.616082208,20766.35402,413125.6952,2
19,5.646538461,443137.4572,4.334595757,5.630476544,21607.06393,427047.8543,2
20,5.663704314,461003.5968,4.35183126,5.644870881,22481.80933,441439.1842,2
21,5.680870166,479590.0524,4.369066764,5.659265217,23391.96813,456315.4958,2
22,5.698036019,498925.865,4.386302267,5.673659554,24338.97401,471693.1328,2
23,5.715201871,519041.2469,4.40353777,5.68805389,25324.31869,487588.9895,2
24,5.732367724,539967.6282,4.420773274,5.702448226,26349.5543,504020.5297,2
25,5.749533577,561737.7062,4.438008777,5.716842563,27416.29579,521005.8059,2
26,5.766699429,584385.4967,4.45524428,5.731236899,28526.22348,538563.4786,2
27,5.783865282,607946.3868,4.472479784,5.745631236,29681.08575,556712.8373,2
28,5.801031134,632457.19,4.489715287,5.760025572,30882.70173,575473.8217,2
29,5.818196987,657956.2046,4.50695079,5.774419909,32132.96421,594867.0432,2
30,5.835362839,684483.2725,4.524186294,5.788814245,33433.84261,614913.808,2
31,5.852528692,712079.8422,4.541421797,5.803208582,34787.38607,635636.1401,2
32,5.869694544,740789.0332,4.5586573,5.817602918,36195.7267,657056.806,2
33,5.886860397,770655.7034,4.575892804,5.831997255,37661.08292,679199.3392,2
34,5.904026249,801726.5195,4.593128307,5.846391591,39185.76296,702088.0662,2
35,5.921192102,834050.0293,4.61036381,5.860785928,40772.1685,725748.1336,2
36,5.938357954,867676.7382,4.627599314,5.875180264,42422.79846,750205.5351,2
37,5.955523807,902659.1878,4.644834817,5.889574601,44140.2529,775487.1406,2
38,5.97268966,939052.038,4.66207032,5.903968937,45927.23716,801620.7253,2
39,5.989855512,976912.1524,4.679305824,5.918363274,47786.56612,828635.0007,2
40,6.007021365,1016298.687,4.696541327,5.93275761,49721.16858,856559.6456,2
41,6.024187217,1057273.184,4.71377683,5.947151946,51734.09193,885425.3391,2
42,6.04135307,1099899.665,4.731012334,5.961546283,53828.50694,915263.7941,2
43,6.058518922,1144244.734,4.748247837,5.975940619,56007.71274,946107.7923,2
44,6.075684775,1190377.679,4.765483341,5.990334956,58275.14201,977991.2199,2
45,6.092850627,1238370.584,4.782718844,6.004729292,60634.36641,1010949.106,2
46,6.11001648,1288298.437,4.799954347,6.019123629,63089.10221,1045017.658,2
47,6.127182332,1340239.25,4.817189851,6.033517965,65643.2161,1080234.306,2
48,6.144348185,1394274.18,4.834425354,6.047912302,68300.73133,1116637.739,2
49,6.161514038,1450487.657,4.851660857,6.062306638,71065.83402,1154267.953,2
50,6.17867989,1508967.514,4.868896361,6.076700975,73942.87978,1193166.289,2
51,6.195845743,1569805.125,4.886131864,6.091095311,76936.40052,1233375.483,2
52,6.213011595,1633095.549,4.903367367,6.105489648,80051.11166,1274939.709,2
53,6.230177448,1698937.677,4.920602871,6.142245828,83291.91949,1387541.011,2
54,6.2473433,1767434.386,4.937838374,6.182737229,86663.92893,1523130.902,2
55,6.264509153,1838692.704,4.955073877,6.22322863,90172.45159,1671970.576,2
56,6.281675005,1912823.97,4.972309381,6.263720031,93823.01409,1835354.797,2
57,6.298840858,1989944.013,4.989544884,6.304211432,97621.36682,2014704.852,2
58,6.31600671,2070173.335,5.029240964,6.344702833,106964.8197,2211580.914,2
59,6.333172563,2153637.293,5.078105361,6.385194234,119703.09,2427695.617,2
60,6.350338415,2240466.298,5.126969759,6.425685635,133958.3407,2664928.953,2
61,6.367504268,2330796.021,5.175834157,6.466177036,149911.2265,2925344.625,2
62,6.384670121,2424767.601,5.224698555,6.506668437,167763.916,3211208.001,2
63,6.401835973,2522527.869,5.273562953,6.547159838,187742.654,3525005.819,2
64,6.419001826,2624229.575,5.322427351,6.587651239,210100.6282,3869467.82,2
65,6.436167678,2730031.626,5.371291749,6.62814264,235121.1779,4247590.494,2
66,6.453333531,2840099.338,5.420156147,6.668634041,263121.3851,4662663.148,2
67,6.470499383,2954604.692,5.469020545,6.709125442,294456.0925,5118296.517,2
68,6.487665236,3073726.602,5.517884942,6.749616843,329522.4003,5618454.176,2
69,6.504831088,3197651.194,5.56674934,6.790108244,368764.699,6167487.02,2
70,6.521996941,3326572.1,5.615613738,6.830599645,412680.3007,6770171.108,2
71,6.539162793,3460690.76,5.664478136,6.871091046,461825.7415,7431749.218,2
72,6.556328646,3600216.732,5.713342534,6.911582447,516823.8347,8157976.447,2
73,6.573494498,3745368.025,5.762206932,6.952073848,578371.5633,8955170.277,2
74,6.590660351,3896371.437,5.81107133,6.992565249,647248.9131,9830265.533,2
75,6.607826204,4053462.91,5.859935728,7.03305665,724328.757,10790874.71,2
76,6.624992056,4216887.9,5.908800126,7.073548051,810587.9169,11845354.19,2
77,6.642157909,4386901.756,5.957664524,7.114039452,907119.543,13002876.93,2
78,6.659323761,4563770.126,6.006528921,7.154530853,1015146.967,14273512.28,2
79,6.676489614,4747769.363,6.055393319,7.195022254,1136039.205,15668313.55,2
80,6.693655466,4939186.968,6.104257717,7.235513655,1271328.308,17199414.18,2
81,6.710821319,5138322.027,6.153122115,7.276005056,1422728.774,18880133.29,2
82,6.727987171,5345485.69,6.201986513,7.316496457,1592159.282,20725091.52,2
83,6.745153024,5561001.649,6.250850911,7.356987858,1781766.999,22750338.24,2
84,6.762318876,5785206.645,6.299715309,7.397479259,1993954.798,24973491.18,2
85,6.779484729,6018450.999,6.348579707,7.43797066,2231411.704,27413889.63,2
86,6.796650581,6261099.153,6.397444105,7.478462061,2497146.975,30092762.73,2
87,6.813816434,6513530.244,6.446308502,7.518953462,2794528.238,33033414.12,2
88,6.830982287,6776138.694,6.4951729,7.559444863,3127324.162,36261424.66,2
89,6.848148139,7049334.828,6.544037298,7.599936264,3499752.224,39804874.95,2
