,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
4,5.389050673,244934.9014,4.442140278,5.365514925,27678.35518,232014.3918,3
5,5.406216526,254810.034,4.469830736,5.395811978,29500.5923,248778.0034,3
6,5.423382378,265083.306,4.497521193,5.426109031,31442.79854,266752.8272,3
7,5.440548231,275770.7694,4.525211651,5.456406084,33512.87222,286026.3764,3
8,5.457714083,286889.1233,4.552902108,5.486703137,35719.23164,306692.487,3
9,5.474879936,298455.7401,4.580592566,5.51700019,38070.84933,328851.7749,3
10,5.492045788,310488.6925,4.608283023,5.547297243,40577.28854,352612.1261,3
11,5.509211641,323006.7819,4.635973481,5.577594296,43248.74212,378089.2212,3
12,5.526377494,336029.5679,4.663663938,5.607891349,46096.074,405407.0991,3
13,5.543543346,349577.3985,4.691354396,5.638188402,49130.86333,434698.7611,3
14,5.560709199,363671.442,4.719044853,5.668485456,52365.45159,466106.8179,3
15,5.577875051,378333.7204,4.746735311,5.698782509,55812.99277,499784.1841,3
16,5.595040904,393587.1434,4.774425768,5.729079562,59487.5069,535894.8231,3
17,5.612206756,409455.5444,4.802116226,5.759376615,63403.93698,574614.5447,3
18,5.629372609,425963.7177,4.829806683,5.789673668,67578.20986,616131.8616,3
19,5.646538461,443137.4572,4.857497141,5.819970721,72027.3009,660648.907,3
20,5.663704314,461003.5968,4.885187598,5.850267774,76769.3031,708382.4186,3
21,5.680870166,479590.0524,4.912878056,5.880564827,81823.50059,759564.794,3
22,5.698036019,498925.865,4.940568513,5.91086188,87210.44713,814445.2222,3
23,5.715201871,519041.2469,4.968258971,5.941158933,92952.04965,873290.8966,3
24,5.732367724,539967.6282,4.995949428,5.971455986,99071.65732,936388.316,3
25,5.749533577,561737.7062,5.023639886,6.001753039,105594.1566,1004044.679,3
26,5.766699429,584385.4967,5.051330343,6.032050092,112546.0723,1076589.382,3
27,5.783865282,607946.3868,5.079020801,6.062347145,119955.6755,1154375.618,3
28,5.801031134,632457.19,5.106711258,6.092644198,127853.0987,1237782.101,3
29,5.818196987,657956.2046,5.134401716,6.122941251,136270.458,1327214.908,3
30,5.835362839,684483.2725,5.162092173,6.153238304,145241.9841,1423109.456,3
31,5.852528692,712079.8422,5.189782631,6.183535357,154804.1613,1525932.621,3
32,5.869694544,740789.0332,5.217473088,6.21383241,164995.8756,1636185.014,3
33,5.886860397,770655.7034,5.245163546,6.244129464,175858.5734,1754403.413,3
34,5.904026249,801726.5195,5.272854003,6.274426517,187436.4297,1881163.383,3
35,5.921192102,834050.0293,5.300544461,6.30472357,199776.5278,2017082.073,3
36,5.938357954,867676.7382,5.328234918,6.335020623,212929.0508,2162821.224,3
37,5.955523807,902659.1878,5.355925376,6.365317676,226947.4857,2319090.387,3
38,5.97268966,939052.038,5.383615833,6.395614729,241888.8408,2486650.383,3
39,5.989855512,976912.1524,5.411306291,6.425911782,257813.8775,2666317.001,3
40,6.007021365,1016298.687,5.438996748,6.456208835,274787.3578,2858964.975,3
41,6.024187217,1057273.184,5.466687206,6.486505888,292878.3072,3065532.24,3
42,6.04135307,1099899.665,5.494377663,6.516802941,312160.2955,3287024.499,3
43,6.058518922,1144244.734,5.522068121,6.547099994,332711.7363,3524520.12,3
44,6.075684775,1190377.679,5.549758578,6.577397047,354616.2053,3779175.384,3
45,6.092850627,1238370.584,5.577449036,6.6076941,377962.7809,4052230.119,3
46,6.11001648,1288298.437,5.605139493,6.637991153,402846.4058,4345013.731,3
47,6.127182332,1340239.25,5.632829951,6.668288206,429368.2734,4658951.681,3
48,6.144348185,1394274.18,5.660520408,6.698585259,457636.2394,4995572.421,3
49,6.161514038,1450487.657,5.688210866,6.728882312,487765.2603,5356514.84,3
50,6.17867989,1508967.514,5.715901323,6.759179365,519877.8608,5743536.237,3
51,6.195845743,1569805.125,5.743591781,6.789476419,554104.6321,6158520.885,3
52,6.213011595,1633095.549,5.771282238,6.819773472,590584.7632,6603489.195,3
53,6.230177448,1698937.677,5.798972696,6.850070525,629466.6067,7080607.563,3
54,6.2473433,1767434.386,5.826663153,6.880367578,670908.2822,7592198.909,3
55,6.264509153,1838692.704,5.849580428,6.910664631,707262.1685,8140753.99,3
56,6.281675005,1912823.97,5.859715341,6.940961684,723961.2821,8728943.527,3
57,6.298840858,1989944.013,5.869850253,6.96435256,741054.6772,9211970.953,3
