城市,区县,renkou_quxian,travel_pattern,出行模式,count,sum_distance,sum_time
肇庆市,封开县,374848,1,通勤,2391,24188.669,1317.099199
肇庆市,封开县,374848,2,休闲,17344,634007.318,17032.0271
肇庆市,广宁县,408112,3,其他,10578,184504.617,2273.228676
江门市,江海区,364694,1,通勤,29809,145505.432,10707.18337
江门市,江海区,364694,2,休闲,87491,818276,46252.41496
肇庆市,德庆县,331438,3,其他,7461,67165.667,1593.472878
肇庆市,德庆县,331438,1,通勤,5289,37997.444,2134.629427
肇庆市,德庆县,331438,2,休闲,29154,762973.409,21896.23151
肇庆市,怀集县,805177,3,其他,9745,255428.358,3365.462286
惠州市,龙门县,319183,1,通勤,2307,46834.292,1979.707571
惠州市,龙门县,319183,2,休闲,24788,1233769.651,22298.71377
肇庆市,端州区,602402,3,其他,37323,250095.407,6961.496695
深圳市,盐田区,214225,1,通勤,13208,32632.178,5989.032545
深圳市,盐田区,214225,2,休闲,59957,1166507.678,39751.1961
肇庆市,高要区,741591,3,其他,25943,259486.671,5728.482712
肇庆市,鼎湖区,209116,1,通勤,6615,68287.684,3085.017202
肇庆市,鼎湖区,209116,2,休闲,59688,1445908.559,41534.92755
肇庆市,鼎湖区,209116,3,其他,9532,97535.396,2315.823629
